ten_6:160000001-165000000	TEN_294
ten_6:165000001-170000000	TEN_295
ten_6:170000001-175000000	TEN_296
ten_6:175000001-180000000	TEN_297
ten_6:180000001-185000000	TEN_298
ten_6:185000001-190000000	TEN_299
ten_6:190000001-195000000	TEN_300
ten_6:195000001-200000000	TEN_301
ten_6:200000001-205000000	TEN_302
ten_6:205000001-210000000	TEN_303
ten_6:210000001-215000000	TEN_304
ten_6:215000001-220000000	TEN_305
ten_6:220000001-225000000	TEN_306
ten_6:225000001-230000000	TEN_307
ten_6:230000001-235000000	TEN_308
ten_6:235000001-240000000	TEN_309
ten_6:240000001-243158026	TEN_310
ten_7:1-5000000	TEN_311
ten_7:5000001-10000000	TEN_312
ten_7:10000001-15000000	TEN_313
ten_7:15000001-20000000	TEN_314
ten_7:20000001-25000000	TEN_315
ten_7:25000001-30000000	TEN_316
ten_7:30000001-35000000	TEN_317
ten_7:35000001-40000000	TEN_318
ten_7:40000001-45000000	TEN_319
ten_7:45000001-50000000	TEN_320
ten_7:50000001-55000000	TEN_321
ten_7:55000001-60000000	TEN_322
ten_7:60000001-65000000	TEN_323
ten_7:65000001-70000000	TEN_324
ten_7:70000001-75000000	TEN_325
ten_7:75000001-80000000	TEN_326
ten_7:80000001-85000000	TEN_327
ten_7:85000001-90000000	TEN_328
ten_7:90000001-95000000	TEN_329
ten_7:95000001-100000000	TEN_330
ten_7:100000001-105000000	TEN_331
ten_7:105000001-110000000	TEN_332
ten_7:110000001-115000000	TEN_333
ten_7:115000001-120000000	TEN_334
ten_7:120000001-125000000	TEN_335
ten_7:125000001-130000000	TEN_336
ten_7:130000001-135000000	TEN_337
ten_7:135000001-140000000	TEN_338
ten_7:140000001-145000000	TEN_339
ten_7:145000001-150000000	TEN_340
ten_7:150000001-155000000	TEN_341
ten_7:155000001-160000000	TEN_342
ten_7:160000001-165000000	TEN_343
ten_7:165000001-170000000	TEN_344
ten_7:170000001-175000000	TEN_345
ten_7:175000001-180000000	TEN_346
ten_7:180000001-185000000	TEN_347
ten_7:185000001-190000000	TEN_348
ten_7:190000001-195000000	TEN_349
ten_7:195000001-195467511	TEN_350
ten_8:1-5000000	TEN_351
ten_8:5000001-10000000	TEN_352
ten_8:10000001-15000000	TEN_353
ten_8:15000001-20000000	TEN_354
ten_8:20000001-25000000	TEN_355
ten_8:25000001-30000000	TEN_356
ten_8:30000001-35000000	TEN_357
ten_8:35000001-40000000	TEN_358
ten_8:40000001-45000000	TEN_359
ten_8:45000001-50000000	TEN_360
ten_8:50000001-55000000	TEN_361
ten_8:55000001-60000000	TEN_362
ten_8:60000001-65000000	TEN_363
ten_8:65000001-70000000	TEN_364
ten_8:70000001-75000000	TEN_365
ten_8:75000001-80000000	TEN_366
ten_8:80000001-85000000	TEN_367
ten_8:85000001-90000000	TEN_368
ten_8:90000001-95000000	TEN_369
ten_8:95000001-100000000	TEN_370
ten_8:100000001-105000000	TEN_371
ten_8:105000001-110000000	TEN_372
ten_8:110000001-115000000	TEN_373
ten_8:115000001-120000000	TEN_374
ten_8:120000001-125000000	TEN_375
ten_8:125000001-130000000	TEN_376
ten_8:130000001-135000000	TEN_377
ten_8:135000001-140000000	TEN_378
ten_8:140000001-145000000	TEN_379
ten_8:145000001-150000000	TEN_380
ten_8:150000001-155000000	TEN_381
ten_8:155000001-160000000	TEN_382
ten_8:160000001-165000000	TEN_383
ten_8:165000001-170000000	TEN_384
ten_8:170000001-175000000	TEN_385
ten_8:175000001-180000000	TEN_386
ten_8:180000001-185000000	TEN_387
ten_8:185000001-190000000	TEN_388
ten_8:190000001-194280246	TEN_389
ten_9:1-5000000	TEN_390
ten_9:5000001-10000000	TEN_391
ten_9:10000001-15000000	TEN_392
ten_9:15000001-20000000	TEN_393
ten_9:20000001-25000000	TEN_394
ten_9:25000001-30000000	TEN_395
