afr_10:40000001-45000000	AFR_398
afr_10:45000001-50000000	AFR_399
afr_10:50000001-55000000	AFR_400
afr_10:55000001-60000000	AFR_401
afr_10:60000001-65000000	AFR_402
afr_10:65000001-70000000	AFR_403
afr_10:70000001-75000000	AFR_404
afr_10:75000001-80000000	AFR_405
afr_10:80000001-85000000	AFR_406
afr_10:85000001-90000000	AFR_407
afr_10:90000001-95000000	AFR_408
afr_10:95000001-100000000	AFR_409
afr_10:100000001-105000000	AFR_410
afr_10:105000001-110000000	AFR_411
afr_10:110000001-115000000	AFR_412
afr_10:115000001-120000000	AFR_413
afr_10:120000001-125000000	AFR_414
afr_10:125000001-130000000	AFR_415
afr_10:130000001-135000000	AFR_416
afr_10:135000001-140000000	AFR_417
afr_10:140000001-145000000	AFR_418
afr_10:145000001-149934166	AFR_419
afr_11:1-5000000	AFR_420
afr_11:5000001-10000000	AFR_421
afr_11:10000001-15000000	AFR_422
afr_11:15000001-20000000	AFR_423
afr_11:20000001-25000000	AFR_424
afr_11:25000001-30000000	AFR_425
afr_11:30000001-35000000	AFR_426
afr_11:35000001-40000000	AFR_427
afr_11:40000001-45000000	AFR_428
afr_11:45000001-50000000	AFR_429
afr_11:50000001-55000000	AFR_430
afr_11:55000001-60000000	AFR_431
afr_11:60000001-65000000	AFR_432
afr_11:65000001-70000000	AFR_433
afr_11:70000001-75000000	AFR_434
afr_11:75000001-80000000	AFR_435
afr_11:80000001-85000000	AFR_436
afr_11:85000001-90000000	AFR_437
afr_11:90000001-95000000	AFR_438
afr_11:95000001-100000000	AFR_439
afr_11:100000001-105000000	AFR_440
afr_11:105000001-110000000	AFR_441
afr_11:110000001-115000000	AFR_442
afr_11:115000001-120000000	AFR_443
afr_11:120000001-125000000	AFR_444
afr_11:125000001-130000000	AFR_445
afr_11:130000001-135000000	AFR_446
afr_11:135000001-137719531	AFR_447
afr_12:1-5000000	AFR_448
afr_12:5000001-10000000	AFR_449
afr_12:10000001-15000000	AFR_450
afr_12:15000001-20000000	AFR_451
afr_12:20000001-25000000	AFR_452
afr_12:25000001-30000000	AFR_453
afr_12:30000001-35000000	AFR_454
afr_12:35000001-40000000	AFR_455
afr_12:40000001-45000000	AFR_456
afr_12:45000001-50000000	AFR_457
afr_12:50000001-55000000	AFR_458
afr_12:55000001-60000000	AFR_459
afr_12:60000001-65000000	AFR_460
afr_12:65000001-70000000	AFR_461
afr_12:70000001-75000000	AFR_462
afr_12:75000001-80000000	AFR_463
afr_12:80000001-85000000	AFR_464
afr_12:85000001-90000000	AFR_465
afr_12:90000001-95000000	AFR_466
afr_12:95000001-100000000	AFR_467
afr_12:100000001-105000000	AFR_468
afr_12:105000001-110000000	AFR_469
afr_12:110000001-115000000	AFR_470
afr_12:115000001-120000000	AFR_471
afr_12:120000001-125000000	AFR_472
afr_12:125000001-127331541	AFR_473
afr_13:1-5000000	AFR_474
afr_13:5000001-10000000	AFR_475
afr_13:10000001-15000000	AFR_476
afr_13:15000001-20000000	AFR_477
afr_13:20000001-25000000	AFR_478
afr_13:25000001-30000000	AFR_479
afr_13:30000001-35000000	AFR_480
afr_13:35000001-40000000	AFR_481
afr_13:40000001-45000000	AFR_482
afr_13:45000001-50000000	AFR_483
afr_13:50000001-55000000	AFR_484
afr_13:55000001-60000000	AFR_485
afr_13:60000001-65000000	AFR_486
afr_13:65000001-70000000	AFR_487
afr_13:70000001-75000000	AFR_488
afr_13:75000001-80000000	AFR_489
afr_13:80000001-85000000	AFR_490
afr_13:85000001-90000000	AFR_491
afr_13:90000001-95000000	AFR_492
afr_13:95000001-100000000	AFR_493
afr_13:100000001-105000000	AFR_494
afr_13:105000001-110000000	AFR_495
afr_13:110000001-115000000	AFR_496
afr_13:115000001-120000000	AFR_497
afr_13:120000001-120868391	AFR_498
afr_X1:1-5000000	AFR_499
afr_X1:5000001-10000000	AFR_500
afr_X1:10000001-15000000	AFR_501
afr_X1:15000001-20000000	AFR_502
afr_X1:20000001-25000000	AFR_503
afr_X1:25000001-30000000	AFR_504
afr_X1:30000001-35000000	AFR_505
afr_X1:35000001-40000000	AFR_506
afr_X1:40000001-45000000	AFR_507
afr_X1:45000001-50000000	AFR_508
afr_X1:50000001-55000000	AFR_509
afr_X1:55000001-60000000	AFR_510
afr_X1:60000001-65000000	AFR_511
afr_X1:65000001-70000000	AFR_512
afr_X1:70000001-75000000	AFR_513
afr_X1:75000001-80000000	AFR_514
afr_X1:80000001-85000000	AFR_515
afr_X1:85000001-90000000	AFR_516
afr_X1:90000001-95000000	AFR_517
afr_X1:95000001-100000000	AFR_518
afr_X1:100000001-105000000	AFR_519
afr_X1:105000001-110000000	AFR_520
afr_X1:110000001-115000000	AFR_521
afr_X1:115000001-120000000	AFR_522
afr_X1:120000001-125000000	AFR_523
afr_X1:125000001-130000000	AFR_524
afr_X1:130000001-135000000	AFR_525
afr_X1:135000001-140000000	AFR_526
afr_X1:140000001-145000000	AFR_527
afr_X1:145000001-150000000	AFR_528
afr_X1:150000001-155000000	AFR_529
afr_X1:155000001-160000000	AFR_530
afr_X1:160000001-165000000	AFR_531
afr_X1:165000001-170000000	AFR_532
afr_X1:170000001-175000000	AFR_533
afr_X1:175000001-180000000	AFR_534
afr_X1:180000001-185000000	AFR_535
afr_X1:185000001-190000000	AFR_536
afr_X1:190000001-195000000	AFR_537
afr_X1:195000001-200000000	AFR_538
afr_X1:200000001-205000000	AFR_539
afr_X1:205000001-210000000	AFR_540
afr_X1:210000001-215000000	AFR_541
afr_X1:215000001-220000000	AFR_542
afr_X1:220000001-225000000	AFR_543
afr_X1:225000001-230000000	AFR_544
afr_X1:230000001-235000000	AFR_545
afr_X1:235000001-240000000	AFR_546
afr_X1:240000001-243495767	AFR_547
afr_X2:1-5000000	AFR_548
afr_X2:5000001-10000000	AFR_549
afr_X2:10000001-15000000	AFR_550
afr_X2:15000001-20000000	AFR_551
afr_X2:20000001-25000000	AFR_552
afr_X2:25000001-30000000	AFR_553
afr_X2:30000001-35000000	AFR_554
afr_X2:35000001-40000000	AFR_555
afr_X2:40000001-45000000	AFR_556
afr_X2:45000001-50000000	AFR_557
afr_X2:50000001-55000000	AFR_558
afr_X2:55000001-60000000	AFR_559
afr_X2:60000001-65000000	AFR_560
afr_X2:65000001-70000000	AFR_561
afr_X2:70000001-75000000	AFR_562
afr_X2:75000001-80000000	AFR_563
afr_X2:80000001-85000000	AFR_564
afr_X2:85000001-90000000	AFR_565
afr_X2:90000001-95000000	AFR_566
afr_X2:95000001-100000000	AFR_567
afr_X2:100000001-105000000	AFR_568
afr_X2:105000001-110000000	AFR_569
afr_X2:110000001-115000000	AFR_570
afr_X2:115000001-120000000	AFR_571
afr_X2:120000001-125000000	AFR_572
afr_X2:125000001-130000000	AFR_573
afr_X2:130000001-135000000	AFR_574
afr_X2:135000001-140000000	AFR_575
afr_X2:140000001-145000000	AFR_576
afr_X2:145000001-150000000	AFR_577
afr_X2:150000001-155000000	AFR_578
afr_X2:155000001-160000000	AFR_579
afr_X2:160000001-165000000	AFR_580
afr_X2:165000001-170000000	AFR_581
afr_X2:170000001-175000000	AFR_582
afr_X2:175000001-180000000	AFR_583
afr_X2:180000001-185000000	AFR_584
afr_X2:185000001-190000000	AFR_585
afr_X2:190000001-195000000	AFR_586
afr_X2:195000001-200000000	AFR_587
afr_X2:200000001-201381903	AFR_588
