dum_6:25000001-30000000	DUM_281
dum_6:30000001-35000000	DUM_282
dum_6:35000001-40000000	DUM_283
dum_6:40000001-45000000	DUM_284
dum_6:45000001-50000000	DUM_285
dum_6:50000001-55000000	DUM_286
dum_6:55000001-60000000	DUM_287
dum_6:60000001-65000000	DUM_288
dum_6:65000001-70000000	DUM_289
dum_6:70000001-75000000	DUM_290
dum_6:75000001-80000000	DUM_291
dum_6:80000001-85000000	DUM_292
dum_6:85000001-90000000	DUM_293
dum_6:90000001-95000000	DUM_294
dum_6:95000001-100000000	DUM_295
dum_6:100000001-105000000	DUM_296
dum_6:105000001-110000000	DUM_297
dum_6:110000001-115000000	DUM_298
dum_6:115000001-120000000	DUM_299
dum_6:120000001-125000000	DUM_300
dum_6:125000001-130000000	DUM_301
dum_6:130000001-135000000	DUM_302
dum_6:135000001-140000000	DUM_303
dum_6:140000001-145000000	DUM_304
dum_6:145000001-150000000	DUM_305
dum_6:150000001-155000000	DUM_306
dum_6:155000001-160000000	DUM_307
dum_6:160000001-165000000	DUM_308
dum_6:165000001-170000000	DUM_309
dum_6:170000001-175000000	DUM_310
dum_6:175000001-180000000	DUM_311
dum_6:180000001-185000000	DUM_312
dum_6:185000001-190000000	DUM_313
dum_6:190000001-195000000	DUM_314
dum_6:195000001-200000000	DUM_315
dum_6:200000001-205000000	DUM_316
dum_6:205000001-210000000	DUM_317
dum_6:210000001-215000000	DUM_318
dum_6:215000001-220000000	DUM_319
dum_6:220000001-225000000	DUM_320
dum_6:225000001-230000000	DUM_321
dum_6:230000001-233268493	DUM_322
dum_7:1-5000000	DUM_323
dum_7:5000001-10000000	DUM_324
dum_7:10000001-15000000	DUM_325
dum_7:15000001-20000000	DUM_326
dum_7:20000001-25000000	DUM_327
dum_7:25000001-30000000	DUM_328
dum_7:30000001-35000000	DUM_329
dum_7:35000001-40000000	DUM_330
dum_7:40000001-45000000	DUM_331
dum_7:45000001-50000000	DUM_332
dum_7:50000001-55000000	DUM_333
dum_7:55000001-60000000	DUM_334
dum_7:60000001-65000000	DUM_335
dum_7:65000001-70000000	DUM_336
dum_7:70000001-75000000	DUM_337
dum_7:75000001-80000000	DUM_338
dum_7:80000001-85000000	DUM_339
dum_7:85000001-90000000	DUM_340
dum_7:90000001-95000000	DUM_341
dum_7:95000001-100000000	DUM_342
dum_7:100000001-105000000	DUM_343
dum_7:105000001-110000000	DUM_344
dum_7:110000001-115000000	DUM_345
dum_7:115000001-120000000	DUM_346
