ind_id	first_mating_time	sex
male_1045	15.69999999999996	male
male_1046	11.099999999999977	male
male_1047	4.4	male
male_1048	3.2000000000000015	male
male_1050	17.199999999999974	male
male_1053	42.10000000000033	male
male_1062	2.1000000000000005	male
male_1063	56.600000000000534	male
male_1069	26.900000000000112	male
male_1073	35.90000000000024	male
male_1074	11.099999999999977	male
male_1076	18.599999999999994	male
male_1077	39.700000000000294	male
male_1078	0.30000000000000004	male
male_1081	17.999999999999986	male
male_1084	17.299999999999976	male
male_1085	44.80000000000037	male
male_1094	21.70000000000004	male
male_1096	85.29999999999943	male
male_1097	3.3000000000000016	male
male_1099	33.80000000000021	male
male_1103	10.499999999999979	male
male_1104	29.000000000000142	male
male_1106	4.699999999999999	male
male_1108	63.10000000000063	male
male_1114	33.500000000000206	male
male_1115	6.799999999999992	male
male_1117	7.39999999999999	male
male_1118	21.10000000000003	male
male_1119	70.60000000000026	male
male_1121	6.099999999999994	male
male_1122	53.30000000000049	male
male_1124	20.700000000000024	male
male_1127	4.100000000000001	male
male_1130	0.4	male
male_1131	7.599999999999989	male
male_1136	4.4	male
male_1142	19.300000000000004	male
male_1146	0.5	male
male_1153	26.1000000000001	male
male_1154	2.700000000000001	male
male_1155	25.600000000000094	male
male_1156	25.200000000000088	male
male_1157	9.99999999999998	male
male_1159	35.20000000000023	male
male_1165	70.20000000000029	male
male_1169	21.400000000000034	male
male_1170	38.00000000000027	male
male_1173	23.90000000000007	male
male_1175	2.1000000000000005	male
male_1176	53.200000000000486	male
male_1177	2.0000000000000004	male
male_1180	17.799999999999983	male
male_1183	90.69999999999912	male
male_1192	128.199999999997	male
male_1194	7.499999999999989	male
male_1195	34.00000000000021	male
male_1196	22.60000000000005	male
male_1198	43.40000000000035	male
male_1201	0.4	male
male_1202	6.399999999999993	male
male_1204	12.69999999999997	male
male_1206	8.699999999999985	male
male_1207	3.0000000000000013	male
male_1213	29.700000000000152	male
male_1214	3.900000000000002	male
male_1216	35.30000000000023	male
male_1217	1.2	male
male_1225	3.0000000000000013	male
male_1226	15.79999999999996	male
male_1227	173.7999999999944	male
male_1228	82.59999999999958	male
male_1229	12.99999999999997	male
male_1232	31.400000000000176	male
male_1234	9.799999999999981	male
male_1245	17.199999999999974	male
male_1246	0.0	male
male_1247	8.399999999999986	male
male_1250	9.599999999999982	male
male_1255	18.099999999999987	male
male_1256	22.900000000000055	male
male_1257	16.19999999999996	male
male_1258	7.999999999999988	male
male_1265	66.30000000000051	male
male_1266	10.399999999999979	male
male_1268	33.400000000000205	male
male_1269	7.899999999999988	male
male_1273	38.60000000000028	male
male_1274	8.499999999999986	male
male_1275	11.399999999999975	male
male_1277	22.300000000000047	male
male_1279	37.40000000000026	male
male_1280	40.500000000000306	male
male_1283	47.0000000000004	male
male_1292	1.3	male
male_1299	40.500000000000306	male
male_1301	7.39999999999999	male
male_1302	63.30000000000063	male
male_1303	9.799999999999981	male
male_1304	108.7999999999981	male
male_1305	2.1000000000000005	male
male_1307	45.50000000000038	male
male_1308	33.0000000000002	male
male_1309	10.499999999999979	male
male_1310	0.4	male
male_1312	6.099999999999994	male
male_1315	11.899999999999974	male
male_1317	9.799999999999981	male
male_1320	2.3000000000000007	male
male_1323	12.69999999999997	male
male_1326	17.999999999999986	male
male_1327	5.1999999999999975	male
male_1329	8.299999999999986	male
male_1331	30.700000000000166	male
male_1334	13.399999999999968	male
male_1336	1.3	male
male_1338	13.899999999999967	male
male_1339	4.4	male
male_1341	2.600000000000001	male
male_1342	44.10000000000036	male
male_1343	6.199999999999994	male
male_1344	2.400000000000001	male
male_1348	37.000000000000256	male
male_1350	9.199999999999983	male
male_1351	17.199999999999974	male
male_1352	34.70000000000022	male
male_1354	13.999999999999966	male
male_1356	8.199999999999987	male
male_1357	1.8000000000000005	male
male_1359	27.800000000000125	male
male_1360	119.1999999999975	male
male_1362	5.1999999999999975	male
male_1365	4.899999999999999	male
male_1368	16.599999999999966	male
male_1369	8.499999999999986	male
male_1371	2.500000000000001	male
male_1375	0.7999999999999999	male
male_1376	4.799999999999999	male
male_1377	20.50000000000002	male
male_1378	29.900000000000155	male
male_1381	13.699999999999967	male
male_1386	7.899999999999988	male
male_1389	37.30000000000026	male
male_1392	20.900000000000027	male
male_1395	11.699999999999974	male
male_1396	54.0000000000005	male
male_1398	77.89999999999985	male
male_1399	12.89999999999997	male
male_1400	35.40000000000023	male
male_1402	85.19999999999943	male
male_1406	20.700000000000024	male
male_1407	13.299999999999969	male
male_1408	5.299999999999997	male
male_1409	1.9000000000000006	male
male_1411	34.00000000000021	male
male_1413	87.29999999999932	male
male_1414	35.500000000000234	male
male_1416	1.0999999999999999	male
male_1419	3.0000000000000013	male
male_1420	1.0999999999999999	male
male_1421	1.8000000000000005	male
male_1423	38.00000000000027	male
male_1425	3.0000000000000013	male
male_1428	3.2000000000000015	male
male_1429	4.4	male
male_1430	10.899999999999977	male
male_1433	10.19999999999998	male
male_1439	68.70000000000037	male
male_1441	5.299999999999997	male
male_1442	8.399999999999986	male
male_1444	0.5	male
male_1446	13.599999999999968	male
male_1448	18.19999999999999	male
male_1449	14.299999999999965	male
male_1450	23.20000000000006	male
male_1452	3.3000000000000016	male
male_1455	57.300000000000544	male
male_1460	0.9999999999999999	male
male_1461	28.80000000000014	male
male_1463	5.999999999999995	male
male_1464	11.799999999999974	male
male_1465	4.200000000000001	male
male_1469	58.700000000000564	male
male_1470	15.99999999999996	male
male_1472	61.4000000000006	male
male_1473	34.40000000000022	male
male_1475	28.400000000000134	male
male_1477	6.5999999999999925	male
male_1478	6.099999999999994	male
male_1482	8.099999999999987	male
male_1484	55.300000000000516	male
male_1490	32.50000000000019	male
male_1491	51.60000000000046	male
male_1494	11.099999999999977	male
male_1495	11.299999999999976	male
male_1496	65.60000000000055	male
male_1502	7.29999999999999	male
male_1504	15.499999999999961	male
male_1505	87.39999999999931	male
male_1506	13.599999999999968	male
male_1507	9.799999999999981	male
male_1508	15.299999999999962	male
male_1509	10.599999999999978	male
male_1518	13.899999999999967	male
male_1521	6.199999999999994	male
male_1524	28.600000000000136	male
male_1530	15.199999999999962	male
male_1533	12.69999999999997	male
male_1538	52.60000000000048	male
male_1540	3.5000000000000018	male
male_1541	7.499999999999989	male
male_1543	46.60000000000039	male
male_1544	19.500000000000007	male
male_1552	22.200000000000045	male
male_1553	12.399999999999972	male
male_1554	48.70000000000042	male
male_1555	0.9999999999999999	male
male_1557	5.899999999999995	male
male_1558	41.00000000000031	male
male_1564	9.599999999999982	male
male_1566	13.499999999999968	male
male_1570	39.9000000000003	male
male_1571	55.50000000000052	male
male_1572	8.199999999999987	male
male_1573	43.00000000000034	male
male_1574	77.49999999999987	male
male_1577	17.799999999999983	male
male_1579	20.600000000000023	male
male_1580	44.10000000000036	male
male_1586	45.70000000000038	male
male_1587	2.0000000000000004	male
male_1588	8.899999999999984	male
male_1589	42.80000000000034	male
male_1591	8.599999999999985	male
male_1596	11.799999999999974	male
male_1597	9.099999999999984	male
male_1598	6.699999999999992	male
male_1599	26.600000000000108	male
male_1600	29.60000000000015	male
male_1601	62.50000000000062	male
male_1605	17.299999999999976	male
male_1606	17.199999999999974	male
male_1607	11.599999999999975	male
male_1609	17.999999999999986	male
male_1611	12.99999999999997	male
male_1613	6.399999999999993	male
male_1615	11.699999999999974	male
male_1616	89.99999999999916	male
male_1617	46.40000000000039	male
male_1622	90.49999999999913	male
male_1625	40.90000000000031	male
male_1626	0.4	male
male_1627	42.20000000000033	male
male_1629	40.1000000000003	male
male_1632	0.9999999999999999	male
male_1634	27.100000000000115	male
male_1635	55.200000000000514	male
male_1636	21.20000000000003	male
male_1637	6.399999999999993	male
male_1639	3.4000000000000017	male
male_1640	3.4000000000000017	male
male_1643	1.8000000000000005	male
male_1646	3.0000000000000013	male
male_1649	1.2	male
male_1651	0.9999999999999999	male
male_1654	3.5000000000000018	male
