sample_id	N_sites	mean_depth	chromosome
MIM_family3_S1_offspring	210018637	34.159	mim_8
MIM_family3_S2_offspring	210018642	26.2088	mim_8
MIM_family3_S3_offspring	210018643	46.2158	mim_8
MIM_family3_S4_offspring	210018642	41.9568	mim_8
MIM_family3_S5_offspring	210018639	43.142	mim_8
MIM_family3_S6_offspring	210018643	49.4678	mim_8
MIM_family4_F_female	210018643	39.4176	mim_8
MIM_family4_M_male	210018640	33.7439	mim_8
MIM_family4_S1_offspring	210018644	37.311	mim_8
MIM_family4_S2_offspring	210018640	32.7771	mim_8
MIM_family4_S3_offspring	210018645	31.6084	mim_8
MIM_family4_S4_offspring	210018637	29.4387	mim_8
MIM_family1_F_female	238368194	22.7168	mim_9
MIM_family1_M_male	238368188	43.2898	mim_9
MIM_family1_S1_offspring	238368194	48.1349	mim_9
MIM_family1_S2_offspring	238368190	39.6435	mim_9
MIM_family1_S3_offspring	238368189	38.1328	mim_9
MIM_family1_S4_offspring	238368192	26.0123	mim_9
MIM_family1_S5_offspring	238368194	26.8057	mim_9
MIM_family1_S6_offspring	238368194	35.799	mim_9
MIM_family2_F_female	238368193	49.4978	mim_9
MIM_family2_M_male	238368194	33.1398	mim_9
MIM_family2_S1_offspring	238368194	43.9026	mim_9
MIM_family2_S2_offspring	238368194	36.222	mim_9
MIM_family2_S3_offspring	238368193	54.2161	mim_9
MIM_family2_S4_offspring	238368194	64.6342	mim_9
MIM_family2_S5_offspring	238368194	58.2484	mim_9
MIM_family2_S6_offspring	238368194	26.4583	mim_9
MIM_family3_F_female	238368194	28.8252	mim_9
MIM_family3_M_male	238368185	33.4172	mim_9
MIM_family3_S1_offspring	238368193	33.8465	mim_9
MIM_family3_S2_offspring	238368189	25.9869	mim_9
MIM_family3_S3_offspring	238368193	45.8133	mim_9
MIM_family3_S4_offspring	238368194	41.5723	mim_9
MIM_family3_S5_offspring	238368192	42.7191	mim_9
MIM_family3_S6_offspring	238368194	49.0463	mim_9
MIM_family4_F_female	238368194	39.09	mim_9
MIM_family4_M_male	238368185	33.4172	mim_9
MIM_family4_S1_offspring	238368194	37.0179	mim_9
MIM_family4_S2_offspring	238368194	32.467	mim_9
MIM_family4_S3_offspring	238368193	31.3017	mim_9
MIM_family4_S4_offspring	238368194	29.1726	mim_9
MIM_family1_F_female	195572747	22.2002	mim_10
MIM_family1_M_male	195572743	42.2849	mim_10
MIM_family1_S1_offspring	195572744	46.9504	mim_10
MIM_family1_S2_offspring	195572744	38.5606	mim_10
MIM_family1_S3_offspring	195572745	37.1047	mim_10
MIM_family1_S4_offspring	195572741	25.3461	mim_10
MIM_family1_S5_offspring	195572746	26.0824	mim_10
MIM_family1_S6_offspring	195572747	34.8025	mim_10
MIM_family2_F_female	195572745	48.2581	mim_10
MIM_family2_M_male	195572739	32.3437	mim_10
MIM_family2_S1_offspring	195572746	42.7496	mim_10
MIM_family2_S2_offspring	195572745	35.1621	mim_10
MIM_family2_S3_offspring	195572746	52.6167	mim_10
MIM_family2_S4_offspring	195572746	62.8079	mim_10
MIM_family2_S5_offspring	195572747	56.6298	mim_10
MIM_family2_S6_offspring	195572746	25.6604	mim_10
MIM_family3_F_female	195572747	28.3921	mim_10
MIM_family3_M_male	195572735	32.6607	mim_10
MIM_family3_S1_offspring	195572745	32.9315	mim_10
MIM_family3_S2_offspring	195572742	25.2646	mim_10
MIM_family3_S3_offspring	195572744	44.5757	mim_10
MIM_family3_S4_offspring	195572747	40.4271	mim_10
MIM_family3_S5_offspring	195572748	41.5414	mim_10
MIM_family3_S6_offspring	195572743	47.7158	mim_10
MIM_family4_F_female	195572745	38.4278	mim_10
MIM_family4_M_male	195572735	32.6607	mim_10
MIM_family4_S1_offspring	195572746	36.0348	mim_10
MIM_family4_S2_offspring	195572737	31.5919	mim_10
MIM_family4_S3_offspring	195572746	30.5485	mim_10
MIM_family4_S4_offspring	195572746	28.3682	mim_10
MIM_family1_F_female	189751121	21.9072	mim_11
MIM_family1_M_male	189751118	41.5066	mim_11
MIM_family1_S1_offspring	189751116	46.0672	mim_11
MIM_family1_S2_offspring	189751107	37.9614	mim_11
MIM_family1_S3_offspring	189751121	36.5226	mim_11
MIM_family1_S4_offspring	189751122	24.9687	mim_11
MIM_family1_S5_offspring	189751122	25.5703	mim_11
MIM_family1_S6_offspring	189751120	34.3021	mim_11
MIM_family2_F_female	189751123	47.5917	mim_11
MIM_family2_M_male	189751111	31.7955	mim_11
MIM_family2_S1_offspring	189751118	42.0858	mim_11
MIM_family2_S2_offspring	189751123	34.5136	mim_11
MIM_family2_S3_offspring	189751121	51.6661	mim_11
MIM_family2_S4_offspring	189751122	61.9243	mim_11
MIM_family2_S5_offspring	189751122	55.6028	mim_11
MIM_family2_S6_offspring	189751120	25.1559	mim_11
MIM_family3_F_female	189751121	28.2154	mim_11
MIM_family3_M_male	189751120	32.5485	mim_11
MIM_family3_S1_offspring	189751122	32.6131	mim_11
MIM_family3_S2_offspring	189751123	25.0462	mim_11
