sample_id	N_sites	mean_depth	chromosome
BIC_family4_F_female	192594079	25.1178	bic_10
BIC_family4_M_male	192594105	29.044	bic_10
BIC_family4_S1_offspring	192594136	29.322	bic_10
BIC_family4_S2_offspring	192594085	29.2669	bic_10
BIC_family4_S3_offspring	192594125	29.6859	bic_10
BIC_family4_S4_offspring	192594105	27.1523	bic_10
BIC_family4_S5_offspring	192594090	27.3074	bic_10
BIC_family4_S6_offspring	192594105	27.0543	bic_10
BIC_family5_F_female	192594095	25.2137	bic_10
BIC_family5_M_male	192594126	28.5377	bic_10
BIC_family5_S1_offspring	192594092	26.907	bic_10
BIC_family5_S2_offspring	192594098	29.3161	bic_10
BIC_family5_S3_offspring	192594099	27.4891	bic_10
BIC_family5_S4_offspring	192594095	27.0308	bic_10
BIC_family5_S5_offspring	192594116	26.9914	bic_10
BIC_family5_S6_offspring	192594133	29.3246	bic_10
BIC_family1_F_female	197864339	25.158	bic_11
BIC_family1_M_male	197864289	27.5293	bic_11
BIC_family1_S1_offspring	197864342	25.2175	bic_11
BIC_family1_S2_offspring	197864321	25.6384	bic_11
BIC_family1_S3_offspring	197864317	25.6034	bic_11
BIC_family1_S4_offspring	197864349	28.2029	bic_11
BIC_family1_S5_offspring	197864321	28.0438	bic_11
BIC_family1_S6_offspring	197864338	25.2747	bic_11
BIC_family2_F_female	197864281	17.396	bic_11
BIC_family2_M_male	197864287	27.3988	bic_11
BIC_family2_S1_offspring	197864335	25.4178	bic_11
BIC_family2_S2_offspring	197864345	25.8535	bic_11
BIC_family2_S3_offspring	197864349	26.0516	bic_11
BIC_family2_S4_offspring	197864340	25.6281	bic_11
BIC_family2_S5_offspring	197864308	24.6628	bic_11
BIC_family2_S6_offspring	197864364	27.3437	bic_11
BIC_family3_F_female	197864381	23.0201	bic_11
BIC_family3_M_male	197864391	27.7823	bic_11
BIC_family3_S1_offspring	197864371	25.277	bic_11
BIC_family3_S2_offspring	197864344	25.8191	bic_11
BIC_family3_S3_offspring	197864324	27.2399	bic_11
BIC_family3_S4_offspring	197864377	28.1272	bic_11
BIC_family3_S5_offspring	197864349	25.7552	bic_11
BIC_family3_S6_offspring	197864288	26.7073	bic_11
BIC_family4_F_female	197864277	24.0316	bic_11
BIC_family4_M_male	197864388	27.9015	bic_11
BIC_family4_S1_offspring	197864362	28.003	bic_11
BIC_family4_S2_offspring	197864364	27.9672	bic_11
BIC_family4_S3_offspring	197864343	28.2548	bic_11
BIC_family4_S4_offspring	197864344	25.8816	bic_11
BIC_family4_S5_offspring	197864346	26.1078	bic_11
BIC_family4_S6_offspring	197864361	25.7932	bic_11
BIC_family5_F_female	197864329	24.1208	bic_11
BIC_family5_M_male	197864377	27.3892	bic_11
BIC_family5_S1_offspring	197864328	25.7837	bic_11
BIC_family5_S2_offspring	197864368	28.115	bic_11
BIC_family5_S3_offspring	197864373	26.2177	bic_11
BIC_family5_S4_offspring	197864354	25.8561	bic_11
BIC_family5_S5_offspring	197864311	25.8303	bic_11
BIC_family5_S6_offspring	197864336	27.9883	bic_11
BIC_family1_F_female	182320370	26.2174	bic_12
BIC_family1_M_male	182320386	29.1928	bic_12
BIC_family1_S1_offspring	182320375	26.9046	bic_12
BIC_family1_S2_offspring	182320326	27.0567	bic_12
BIC_family1_S3_offspring	182320376	27.3315	bic_12
BIC_family1_S4_offspring	182320365	29.7199	bic_12
BIC_family1_S5_offspring	182320392	29.797	bic_12
BIC_family1_S6_offspring	182320346	26.7948	bic_12
BIC_family2_F_female	182320318	18.052	bic_12
BIC_family2_M_male	182320366	29.0619	bic_12
BIC_family2_S1_offspring	182320343	26.8724	bic_12
BIC_family2_S2_offspring	182320401	27.1754	bic_12
BIC_family2_S3_offspring	182320400	27.6011	bic_12
BIC_family2_S4_offspring	182320393	27.1014	bic_12
BIC_family2_S5_offspring	182320358	26.0255	bic_12
BIC_family2_S6_offspring	182320389	28.9199	bic_12
BIC_family3_F_female	182320409	24.3071	bic_12
BIC_family3_M_male	182320431	29.095	bic_12
BIC_family3_S1_offspring	182320417	26.3377	bic_12
BIC_family3_S2_offspring	182320390	27.0135	bic_12
BIC_family3_S3_offspring	182320385	28.4756	bic_12
BIC_family3_S4_offspring	182320401	29.3432	bic_12
BIC_family3_S5_offspring	182320391	26.8896	bic_12
BIC_family3_S6_offspring	182320351	28.0461	bic_12
BIC_family4_F_female	182320365	25.2826	bic_12
BIC_family4_M_male	182320413	29.0309	bic_12
BIC_family4_S1_offspring	182320392	29.5194	bic_12
BIC_family4_S2_offspring	182320395	29.376	bic_12
BIC_family4_S3_offspring	182320400	29.7592	bic_12
BIC_family4_S4_offspring	182320402	27.1457	bic_12
BIC_family4_S5_offspring	182320381	27.4907	bic_12
BIC_family4_S6_offspring	182320401	27.1257	bic_12
BIC_family5_F_female	182320350	25.4118	bic_12
BIC_family5_M_male	182320435	28.6772	bic_12
BIC_family5_S1_offspring	182320378	27.1176	bic_12
BIC_family5_S2_offspring	182320426	29.5014	bic_12
BIC_family5_S3_offspring	182320425	27.5967	bic_12
BIC_family5_S4_offspring	182320406	27.1831	bic_12
BIC_family5_S5_offspring	182320388	27.0943	bic_12
BIC_family5_S6_offspring	182320390	29.4838	bic_12
BIC_family1_F_female	174352104	25.7676	bic_13
BIC_family1_M_male	174352156	28.8134	bic_13
BIC_family1_S1_offspring	174352080	26.3135	bic_13
BIC_family1_S2_offspring	174352083	26.4423	bic_13
BIC_family1_S3_offspring	174352141	26.9212	bic_13
BIC_family1_S4_offspring	174352123	29.0235	bic_13
BIC_family1_S5_offspring	174352125	29.0524	bic_13
BIC_family1_S6_offspring	174352143	26.3412	bic_13
BIC_family2_F_female	174352086	17.9961	bic_13
BIC_family2_M_male	174352131	28.6278	bic_13
BIC_family2_S1_offspring	174352137	26.5645	bic_13
BIC_family2_S2_offspring	174352143	26.8218	bic_13
BIC_family2_S3_offspring	174352125	27.199	bic_13
BIC_family2_S4_offspring	174352125	26.5072	bic_13
BIC_family2_S5_offspring	174352105	25.5466	bic_13
BIC_family2_S6_offspring	174352122	28.308	bic_13
BIC_family3_F_female	174352124	23.7303	bic_13
BIC_family3_M_male	174352139	28.535	bic_13
BIC_family3_S1_offspring	174352140	25.8644	bic_13
BIC_family3_S2_offspring	174352145	26.5249	bic_13
BIC_family3_S3_offspring	174352074	27.8525	bic_13
BIC_family3_S4_offspring	174352154	28.7221	bic_13
BIC_family3_S5_offspring	174352140	26.3523	bic_13
BIC_family3_S6_offspring	174352079	27.4994	bic_13
BIC_family4_F_female	174352081	24.8489	bic_13
BIC_family4_M_male	174352128	28.678	bic_13
BIC_family4_S1_offspring	174352164	28.9008	bic_13
BIC_family4_S2_offspring	174352129	28.8889	bic_13
BIC_family4_S3_offspring	174352145	29.1888	bic_13
BIC_family4_S4_offspring	174352138	26.6432	bic_13
BIC_family4_S5_offspring	174352120	26.947	bic_13
BIC_family4_S6_offspring	174352115	26.5693	bic_13
